"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"545",15908105,20,-3,27,424,-1,-1
"546",15908106,63,-3,27,628,,
"547",15908107,,,33,704,,
"548",15908108,22,18,25,513,11,9
"549",15908109,7,14,29,593,0,8
"550",15908110,18,-3,30,484,50,12
"551",15908112,-1,-1,25,-3,,
"552",15908113,,,29,-3,-1,-1
"553",15909001,-1,-1,36,1246,41,165
"554",15909006,,,64,118,73,-3
"555",15909041,19,16,35,1874,39,248
"556",15909101,-1,-1,51,699,67,81
"557",15909103,,,,,,
"558",15909104,-1,-1,39,500,45,42
"559",15909105,40,5,31,1248,41,114
"560",15910001,45,155,53,2796,79,366
"561",15910002,46,310,59,1921,72,712
"562",15910003,43,191,59,1989,79,982
"563",15910004,39,602,49,2412,69,397
"564",15910005,52,330,60,2773,72,971
"565",15910007,74,163,80,1693,91,1524
"566",15910008,-1,-1,58,31,61,-3
"567",15910009,68,22,84,306,91,160
"568",15910012,,,,,,
"569",15910014,73,238,83,1646,87,1299
"570",15910022,,,,,,
"571",15910041,19,211,37,1988,64,496
"572",15910042,25,289,41,1869,59,319
"573",15910043,23,174,40,1836,64,390
"574",15910044,26,121,35,2807,74,417
"575",15910045,36,98,38,1613,65,200
"576",15910046,21,570,41,1721,69,420
"577",15910047,24,262,35,1563,43,442
"578",15910048,34,150,52,1969,69,1267
"579",15910049,27,128,40,1321,56,596
"580",15910050,59,108,67,1444,78,1292
"581",15910053,,,,,,
"582",15910054,,,,,,
"583",15910056,59,164,63,1344,74,1330
"584",15910057,65,133,75,1645,81,1457
"585",15910058,43,167,45,1976,59,760
"586",15910059,52,236,58,1479,74,1208
"587",15910101,-1,-1,55,416,67,159
"588",15910102,38,16,42,663,54,283
"589",15910103,13,60,39,614,27,81
"590",15910104,-1,-1,43,387,64,14
"591",15910105,32,47,38,628,42,60
"592",15910106,23,52,30,477,41,93
"593",15910107,20,69,35,774,45,29
"594",15910108,13,88,30,690,28,68
"595",15910109,25,57,52,266,69,201
"596",15910110,19,37,27,239,45,40
"597",15910111,36,14,55,612,38,21
"598",15910112,60,-3,44,618,34,38
"599",15910113,14,102,28,268,33,55
"600",15910114,20,70,32,600,48,23
"601",15910115,24,17,26,336,11,9
"602",15910116,49,65,35,230,40,55
"603",15910117,20,81,32,487,44,117
"604",15910118,20,168,42,388,41,54
"605",15910119,14,35,22,319,39,64
"606",15910120,47,17,36,520,37,35
"607",15910121,24,25,30,648,29,73
"608",15910122,17,160,25,317,23,44
"609",15910123,41,-3,67,261,76,400
"610",15910124,26,82,30,539,47,191
"611",15910125,21,81,32,756,39,194
"612",15910126,33,61,43,493,54,306
"613",15910127,12,93,33,525,45,177
"614",15910128,53,17,49,259,75,189
